Review_ID,Date,Review_Text,Rating,Sentiment_Label
REV_0082,2025-02-20,The bed was excellent,5,Positive
REV_0083,2025-06-29,"The view was excellent. However, the view was delicious",4,Positive
REV_0084,2025-04-06,The ac was slow and the noise was expensive,2,Negative
REV_0085,2025-05-31,The bathroom was expensive and the price was broken,1,Negative
REV_0086,2025-02-25,The check-in was loud and the ac was dirty,2,Negative
REV_0087,2025-04-29,The staff was excellent. the room was friendly,4,Positive
REV_0088,2025-04-04,The wifi was great. the room was great,4,Positive
REV_0089,2025-04-03,The price was loud but the wifi was fast,3,Neutral
REV_0090,2025-05-30,The room was comfortable,5,Positive
REV_0091,2025-05-20,The carpet was expensive and the price was old,2,Negative
REV_0092,2025-02-04,The location was delicious,4,Positive
REV_0093,2025-04-03,The price was loud but the staff was comfortable,3,Neutral
REV_0094,2025-05-16,The view was fast,4,Positive
REV_0095,2025-02-15,The price was expensive but the view was fast,3,Neutral
REV_0096,2025-02-03,The check-in was loud and the check-in was loud,1,Negative
REV_0097,2025-06-20,The elevator was slow but the pool was comfortable,3,Neutral
REV_0098,2025-03-17,The view was great,5,Positive
REV_0099,2025-04-10,The carpet was broken and the carpet was slow,2,Negative
REV_0100,2025-04-18,The bathroom was slow but the room was clean,3,Neutral
REV_0101,2025-03-18,The breakfast was fast,5,Positive
REV_0102,2025-04-03,The bed was great and the wifi was fast,4,Positive
REV_0103,2025-02-22,The bed was delicious,4,Positive
REV_0104,2025-04-15,The bed was fast,4,Positive
REV_0105,2025-01-16,The bed was clean and the pool was clean,5,Positive
REV_0106,2025-03-08,The location was great,5,Positive
REV_0107,2025-04-29,The breakfast was comfortable,5,Positive
REV_0108,2025-04-30,The breakfast was fast,5,Positive
REV_0109,2025-04-02,The price was expensive and the ac was loud,2,Negative
REV_0110,2025-01-08,"The breakfast was clean. However, the room was clean",4,Positive
REV_0111,2025-01-30,The check-in was dirty and the ac was expensive,1,Negative
REV_0112,2025-01-16,The room was delicious and the pool was friendly,5,Positive
REV_0113,2025-04-04,The wifi was clean,4,Positive
REV_0114,2025-02-23,The staff was delicious,4,Positive
REV_0115,2025-02-24,The breakfast was excellent,4,Positive
REV_0116,2025-03-15,The breakfast was comfortable,5,Positive
REV_0117,2025-04-30,The price was slow and the noise was broken,2,Negative
REV_0118,2025-04-17,The staff was fast,4,Positive
REV_0119,2025-03-13,The wifi was clean,4,Positive
REV_0120,2025-01-09,The elevator was loud and the carpet was loud,1,Negative
REV_0121,2025-04-02,The pool was friendly and the location was friendly,5,Positive
REV_0122,2025-05-01,The ac was smelly but the wifi was fast,3,Neutral
REV_0123,2025-04-23,The carpet was expensive but the bed was great,3,Neutral
REV_0124,2025-02-22,"The location was friendly. However, the staff was friendly",5,Positive
REV_0125,2025-02-01,The breakfast was fast,5,Positive
REV_0126,2025-03-10,The bed was clean,4,Positive
REV_0127,2025-04-05,The ac was broken and the carpet was loud,2,Negative
REV_0128,2025-05-09,The pool was amazing,4,Positive
REV_0129,2025-05-01,The view was friendly. the staff was fast,4,Positive
REV_0130,2025-03-04,The check-in was expensive and the check-in was expensive,2,Negative
REV_0131,2025-03-14,The staff was comfortable and the location was friendly,5,Positive
REV_0132,2025-01-10,The price was broken and the carpet was old,1,Negative
REV_0133,2025-04-22,"The wifi was fast. However, the staff was friendly",5,Positive
REV_0134,2025-01-28,The elevator was rude and the carpet was smelly,2,Negative
REV_0135,2025-06-01,The room was friendly,4,Positive
REV_0136,2025-04-19,The location was clean,4,Positive
REV_0137,2025-01-15,The wifi was clean,4,Positive
REV_0138,2025-06-19,The pool was comfortable,5,Positive
REV_0139,2025-04-09,The elevator was expensive and the elevator was loud,2,Negative
REV_0140,2025-03-14,"The pool was great. However, the location was clean",4,Positive
REV_0141,2025-06-07,The price was rude and the price was dirty,1,Negative
REV_0142,2025-05-12,The carpet was rude and the check-in was dirty,2,Negative
REV_0143,2025-03-12,"The staff was excellent. However, the view was fast",4,Positive
REV_0144,2025-01-17,The breakfast was clean. the bed was friendly,4,Positive
REV_0145,2025-03-11,The noise was old and the check-in was slow,1,Negative
REV_0146,2025-03-03,The wifi was excellent,5,Positive
REV_0147,2025-05-16,"The view was excellent. However, the staff was excellent",5,Positive
REV_0148,2025-04-13,The price was loud but the wifi was delicious,3,Neutral
REV_0149,2025-01-25,The elevator was old and the bathroom was loud,2,Negative
REV_0150,2025-02-17,The pool was clean,5,Positive
REV_0151,2025-04-26,The price was old and the price was old,1,Negative
REV_0152,2025-06-20,The location was amazing,4,Positive
REV_0153,2025-05-15,"The breakfast was great. However, the view was comfortable",4,Positive
REV_0154,2025-04-22,The bathroom was dirty but the breakfast was fast,3,Neutral
REV_0155,2025-05-31,The ac was expensive and the check-in was slow,1,Negative
REV_0156,2025-06-16,The noise was rude and the elevator was old,2,Negative
REV_0157,2025-02-17,The view was delicious,5,Positive
REV_0158,2025-03-26,"The staff was great. However, the bed was amazing",4,Positive
REV_0159,2025-03-26,The price was expensive but the pool was excellent,3,Neutral
REV_0160,2025-03-27,The noise was expensive and the carpet was rude,2,Negative
REV_0161,2025-05-16,The price was slow and the noise was broken,1,Negative
REV_0162,2025-01-24,The elevator was rude and the noise was old,1,Negative
REV_0163,2025-03-01,The price was old and the bathroom was dirty,2,Negative
REV_0164,2025-02-08,The breakfast was delicious and the wifi was delicious,4,Positive
REV_0165,2025-05-11,The staff was friendly,5,Positive
REV_0166,2025-02-07,The wifi was amazing,4,Positive
REV_0167,2025-04-04,The breakfast was excellent. the bed was clean,5,Positive
REV_0168,2025-04-03,The staff was excellent. the pool was delicious,5,Positive
REV_0169,2025-02-28,The view was great and the bed was amazing,5,Positive
REV_0170,2025-05-27,The check-in was slow and the noise was slow,2,Negative
REV_0171,2025-02-03,The elevator was broken and the noise was expensive,1,Negative
REV_0172,2025-04-01,The view was amazing,5,Positive
REV_0173,2025-05-11,The wifi was friendly but the staff was fast,5,Positive
REV_0174,2025-02-20,The breakfast was excellent,5,Positive
REV_0175,2025-04-02,The location was delicious,5,Positive
REV_0176,2025-03-24,The price was dirty but the bed was clean,3,Neutral
REV_0177,2025-01-18,The price was smelly and the carpet was dirty,2,Negative
REV_0178,2025-02-26,The breakfast was excellent,5,Positive
REV_0179,2025-04-10,The view was friendly and the location was fast,4,Positive
REV_0180,2025-05-09,"The room was amazing. However, the breakfast was comfortable",5,Positive
REV_0181,2025-06-16,The room was amazing and the bed was great,4,Positive
REV_0182,2025-05-06,The staff was excellent,4,Positive
REV_0183,2025-06-17,The pool was friendly. the pool was fast,4,Positive
REV_0184,2025-02-09,The elevator was smelly and the ac was broken,1,Negative
REV_0185,2025-03-12,The location was amazing,5,Positive
REV_0186,2025-04-27,The pool was comfortable,5,Positive
REV_0187,2025-03-05,The view was great. the staff was amazing,5,Positive
REV_0188,2025-04-21,The breakfast was amazing. the view was excellent,4,Positive
REV_0189,2025-06-14,The pool was delicious,4,Positive
REV_0190,2025-06-05,The price was expensive but the location was great,3,Neutral
REV_0191,2025-04-07,The carpet was old and the check-in was old,2,Negative
REV_0192,2025-01-05,The elevator was dirty but the breakfast was fast,3,Neutral
REV_0193,2025-01-09,The pool was comfortable and the bed was comfortable,4,Positive
REV_0194,2025-05-12,The wifi was excellent,5,Positive
REV_0195,2025-05-11,The breakfast was great. the view was great,5,Positive
REV_0196,2025-06-29,The staff was amazing but the staff was comfortable,4,Positive
REV_0197,2025-05-05,The view was excellent and the view was friendly,4,Positive
REV_0198,2025-01-22,The location was friendly,4,Positive
REV_0199,2025-02-20,The price was rude but the wifi was fast,3,Neutral
REV_0200,2025-05-19,"The location was clean. However, the room was delicious",4,Positive
REV_0201,2025-06-19,The check-in was dirty but the breakfast was amazing,3,Neutral
REV_0202,2025-06-14,The check-in was expensive and the elevator was smelly,1,Negative
REV_0203,2025-01-28,The carpet was broken and the carpet was dirty,2,Negative
REV_0204,2025-01-07,The view was comfortable,4,Positive
REV_0205,2025-06-04,The bathroom was rude but the bed was friendly,3,Neutral
REV_0206,2025-04-17,The check-in was rude but the view was great,3,Neutral
REV_0207,2025-04-10,The staff was excellent,5,Positive
REV_0208,2025-01-29,The noise was loud but the breakfast was comfortable,3,Neutral
REV_0209,2025-05-01,The wifi was clean and the bed was clean,4,Positive
REV_0210,2025-05-05,The elevator was old and the elevator was broken,2,Negative
REV_0211,2025-03-11,The pool was delicious,4,Positive
REV_0212,2025-02-27,The pool was comfortable but the wifi was fast,5,Positive
REV_0213,2025-04-24,The bed was amazing,4,Positive
REV_0214,2025-01-02,The elevator was expensive but the wifi was clean,3,Neutral
REV_0215,2025-04-29,The location was great but the location was amazing,4,Positive
REV_0216,2025-05-02,The pool was clean but the breakfast was excellent,4,Positive
REV_0217,2025-02-03,The bed was friendly and the room was delicious,5,Positive
REV_0218,2025-02-11,The noise was old and the check-in was broken,1,Negative
REV_0219,2025-02-25,The pool was clean but the wifi was excellent,4,Positive
REV_0220,2025-05-01,The room was clean,4,Positive
REV_0221,2025-05-21,The wifi was fast,4,Positive
REV_0222,2025-05-12,The carpet was old and the elevator was loud,2,Negative
REV_0223,2025-06-16,The pool was great,4,Positive
REV_0224,2025-04-03,The staff was excellent,4,Positive
REV_0225,2025-03-04,The noise was dirty and the bathroom was loud,2,Negative
REV_0226,2025-03-25,The bathroom was loud and the check-in was old,2,Negative
REV_0227,2025-04-27,The bed was excellent,5,Positive
REV_0228,2025-02-12,The elevator was slow but the view was great,3,Neutral
REV_0229,2025-02-18,The carpet was broken but the pool was comfortable,3,Neutral
REV_0230,2025-06-26,The price was rude and the check-in was rude,2,Negative
REV_0231,2025-04-21,The elevator was rude and the check-in was dirty,1,Negative
REV_0232,2025-04-24,The carpet was smelly but the view was comfortable,3,Neutral
REV_0233,2025-04-29,The breakfast was excellent,4,Positive
REV_0234,2025-06-07,The elevator was expensive and the noise was broken,2,Negative
REV_0235,2025-03-06,The staff was great. the wifi was comfortable,5,Positive
REV_0236,2025-04-20,The ac was smelly and the check-in was broken,1,Negative
REV_0237,2025-02-07,The bathroom was dirty and the carpet was broken,1,Negative
REV_0238,2025-04-09,The location was friendly but the bed was excellent,5,Positive
REV_0239,2025-05-28,"The pool was comfortable. However, the staff was comfortable",5,Positive
REV_0240,2025-01-15,"The staff was delicious. However, the staff was great",4,Positive
REV_0241,2025-05-15,The wifi was friendly but the breakfast was clean,5,Positive
REV_0242,2025-01-16,The location was fast. the wifi was clean,5,Positive
REV_0243,2025-03-17,The carpet was slow and the bathroom was rude,2,Negative
REV_0244,2025-03-24,The price was dirty but the view was amazing,3,Neutral
REV_0245,2025-05-17,The ac was loud and the ac was rude,1,Negative
REV_0246,2025-02-15,The room was comfortable and the staff was amazing,4,Positive
REV_0247,2025-01-05,The price was broken and the carpet was loud,1,Negative
REV_0248,2025-02-08,The carpet was rude and the price was expensive,1,Negative
REV_0249,2025-06-06,The bathroom was expensive and the price was loud,1,Negative
REV_0250,2025-03-06,The staff was excellent,5,Positive
REV_0251,2025-04-11,The noise was slow and the price was rude,2,Negative
REV_0252,2025-02-21,The location was comfortable,4,Positive
REV_0253,2025-03-04,The bed was great but the location was amazing,5,Positive
REV_0254,2025-03-07,The breakfast was friendly,4,Positive
REV_0255,2025-06-22,The pool was friendly,4,Positive
REV_0256,2025-03-10,The bathroom was dirty and the check-in was smelly,1,Negative
REV_0257,2025-06-27,The check-in was old and the price was dirty,2,Negative
REV_0258,2025-06-11,The check-in was loud and the noise was smelly,1,Negative
REV_0259,2025-04-30,The location was excellent and the breakfast was clean,5,Positive
REV_0260,2025-02-18,The view was excellent,5,Positive
REV_0261,2025-01-21,The breakfast was excellent but the pool was great,4,Positive
REV_0262,2025-04-07,The elevator was expensive and the bathroom was rude,1,Negative
REV_0263,2025-01-09,The location was great and the bed was comfortable,4,Positive
REV_0264,2025-04-27,The elevator was dirty and the bathroom was loud,2,Negative
REV_0265,2025-01-12,The check-in was old and the check-in was smelly,2,Negative
REV_0266,2025-06-17,The noise was slow and the bathroom was smelly,2,Negative
REV_0267,2025-01-21,The room was delicious,5,Positive
REV_0268,2025-05-17,The pool was amazing,5,Positive
REV_0269,2025-01-18,The breakfast was friendly. the breakfast was comfortable,5,Positive
REV_0270,2025-02-02,The breakfast was delicious,5,Positive
REV_0271,2025-05-28,The wifi was clean,4,Positive
REV_0272,2025-02-18,The bed was comfortable but the bed was great,5,Positive
REV_0273,2025-03-16,The bed was excellent,4,Positive
REV_0274,2025-03-08,The location was comfortable and the view was fast,4,Positive
REV_0275,2025-05-20,The breakfast was friendly but the bed was delicious,4,Positive
REV_0276,2025-01-03,The wifi was comfortable but the room was great,5,Positive
REV_0277,2025-05-31,The view was excellent,4,Positive
REV_0278,2025-04-13,The bed was clean and the pool was comfortable,5,Positive
REV_0279,2025-06-19,The ac was old and the noise was slow,1,Negative
REV_0280,2025-04-15,The staff was amazing,5,Positive
REV_0281,2025-03-14,The price was broken and the price was dirty,2,Negative
REV_0282,2025-06-03,The noise was smelly and the carpet was slow,2,Negative
REV_0283,2025-04-29,The staff was comfortable. the staff was clean,4,Positive
REV_0284,2025-06-08,The room was delicious but the location was fast,5,Positive
REV_0285,2025-03-27,The view was excellent,5,Positive
REV_0286,2025-03-16,The wifi was comfortable and the view was friendly,5,Positive
REV_0287,2025-05-21,The location was great,4,Positive
REV_0288,2025-04-10,The wifi was fast but the room was comfortable,5,Positive
REV_0289,2025-05-16,The view was fast,4,Positive
REV_0290,2025-06-19,The location was clean,4,Positive
REV_0291,2025-01-02,The price was smelly and the elevator was dirty,2,Negative
REV_0292,2025-03-24,"The pool was excellent. However, the bed was amazing",4,Positive
REV_0293,2025-04-01,The view was delicious and the location was delicious,5,Positive
REV_0294,2025-02-01,The ac was expensive and the check-in was expensive,1,Negative
REV_0295,2025-03-29,The wifi was friendly,4,Positive
REV_0296,2025-01-23,The view was comfortable,4,Positive
REV_0297,2025-01-04,The wifi was comfortable,5,Positive
REV_0298,2025-06-21,The view was comfortable. the breakfast was comfortable,5,Positive
REV_0299,2025-02-13,The location was excellent,5,Positive
REV_0300,2025-04-02,The wifi was amazing but the breakfast was clean,5,Positive
REV_0301,2025-01-21,The staff was great and the wifi was comfortable,5,Positive
REV_0302,2025-06-22,The check-in was dirty but the bed was friendly,3,Neutral
REV_0303,2025-02-02,The carpet was old and the bathroom was old,2,Negative
REV_0304,2025-02-02,The price was loud and the ac was broken,1,Negative
REV_0305,2025-01-19,The breakfast was delicious,5,Positive
REV_0306,2025-01-14,The breakfast was comfortable but the location was delicious,5,Positive
REV_0307,2025-02-09,The room was comfortable but the room was fast,4,Positive
REV_0308,2025-03-18,The ac was old and the carpet was smelly,1,Negative
REV_0309,2025-06-29,The noise was dirty and the carpet was old,1,Negative
REV_0310,2025-02-16,The price was slow but the staff was amazing,3,Neutral
REV_0311,2025-04-06,The pool was comfortable,5,Positive
REV_0312,2025-03-01,The elevator was broken and the price was broken,2,Negative
REV_0313,2025-04-30,The breakfast was friendly. the view was friendly,5,Positive
REV_0314,2025-01-17,The location was friendly,4,Positive
REV_0315,2025-01-04,The bed was friendly,5,Positive
REV_0316,2025-04-17,The breakfast was amazing. the wifi was amazing,5,Positive
REV_0317,2025-04-01,The staff was comfortable,5,Positive
REV_0318,2025-05-31,The breakfast was fast but the pool was delicious,4,Positive
REV_0319,2025-03-26,The price was dirty and the bathroom was broken,2,Negative
REV_0320,2025-02-08,The price was expensive but the location was fast,3,Neutral
REV_0321,2025-01-25,The noise was rude and the bathroom was broken,1,Negative
REV_0322,2025-02-23,The carpet was slow but the bed was amazing,3,Neutral
REV_0323,2025-01-09,The room was excellent,5,Positive
REV_0324,2025-05-17,The carpet was dirty and the check-in was slow,1,Negative
REV_0325,2025-05-25,The price was broken but the bed was amazing,3,Neutral
REV_0326,2025-02-05,"The staff was great. However, the wifi was friendly",4,Positive
REV_0327,2025-06-27,The check-in was broken and the noise was expensive,2,Negative
REV_0328,2025-02-20,The wifi was fast but the breakfast was excellent,5,Positive
REV_0329,2025-04-02,The elevator was expensive and the carpet was rude,2,Negative
REV_0330,2025-05-16,The breakfast was great,5,Positive
REV_0331,2025-01-20,The location was delicious,5,Positive
REV_0332,2025-03-23,The ac was smelly but the wifi was delicious,3,Neutral
REV_0333,2025-04-17,The room was excellent,5,Positive
REV_0334,2025-04-18,The bathroom was loud but the staff was amazing,3,Neutral
REV_0335,2025-03-18,The noise was rude and the bathroom was slow,2,Negative
REV_0336,2025-02-21,The room was great but the staff was delicious,4,Positive
REV_0337,2025-01-13,The elevator was dirty but the wifi was delicious,3,Neutral
REV_0338,2025-02-03,The bed was friendly and the view was amazing,4,Positive
REV_0339,2025-05-18,The bathroom was expensive but the view was clean,3,Neutral
REV_0340,2025-06-16,The ac was smelly but the breakfast was comfortable,3,Neutral
REV_0341,2025-04-04,The check-in was loud and the carpet was old,2,Negative
REV_0342,2025-03-25,The elevator was loud but the room was comfortable,3,Neutral
REV_0343,2025-02-10,The staff was great but the breakfast was friendly,4,Positive
REV_0344,2025-01-04,The elevator was dirty and the ac was slow,1,Negative
REV_0345,2025-04-21,The ac was dirty and the ac was expensive,2,Negative
REV_0346,2025-02-15,The noise was rude and the bathroom was rude,1,Negative
REV_0347,2025-03-12,The elevator was dirty but the location was clean,3,Neutral
REV_0348,2025-03-29,The check-in was loud and the bathroom was loud,1,Negative
REV_0349,2025-03-28,The breakfast was great,4,Positive
REV_0350,2025-03-21,The carpet was rude but the wifi was great,3,Neutral
REV_0351,2025-06-28,The wifi was fast,5,Positive
REV_0352,2025-03-06,The price was expensive and the check-in was loud,2,Negative
REV_0353,2025-05-28,The price was dirty and the bathroom was loud,2,Negative
REV_0354,2025-01-21,The noise was smelly and the ac was old,1,Negative
REV_0355,2025-02-14,The pool was friendly,4,Positive
REV_0356,2025-04-04,The pool was friendly,5,Positive
REV_0357,2025-02-15,The noise was expensive and the check-in was broken,2,Negative
REV_0358,2025-03-25,The noise was dirty and the elevator was slow,2,Negative
REV_0359,2025-03-06,The view was comfortable but the location was friendly,4,Positive
REV_0360,2025-03-15,The check-in was dirty and the price was dirty,1,Negative
REV_0361,2025-02-06,The staff was friendly,5,Positive
REV_0362,2025-02-26,The carpet was expensive and the carpet was smelly,2,Negative
REV_0363,2025-06-24,The check-in was expensive and the carpet was smelly,2,Negative
REV_0364,2025-03-24,The ac was broken but the bed was delicious,3,Neutral
REV_0365,2025-02-03,The view was delicious,5,Positive
REV_0366,2025-04-15,The room was amazing,5,Positive
REV_0367,2025-02-06,The location was excellent but the bed was friendly,5,Positive
REV_0368,2025-02-02,The wifi was fast but the pool was fast,4,Positive
REV_0369,2025-06-23,"The staff was clean. However, the bed was comfortable",5,Positive
REV_0370,2025-03-13,The noise was old and the check-in was expensive,2,Negative
REV_0371,2025-05-05,The breakfast was delicious,5,Positive
REV_0372,2025-03-11,"The location was clean. However, the wifi was comfortable",4,Positive
REV_0373,2025-01-20,The price was broken and the carpet was smelly,1,Negative
REV_0374,2025-01-04,The location was comfortable,5,Positive
REV_0375,2025-01-06,The noise was expensive and the noise was dirty,2,Negative
REV_0376,2025-05-27,The wifi was delicious,5,Positive
REV_0377,2025-04-08,The wifi was clean,4,Positive
REV_0378,2025-03-05,The location was friendly,4,Positive
REV_0379,2025-01-02,The pool was clean,5,Positive
REV_0380,2025-01-12,The ac was dirty but the view was amazing,3,Neutral
REV_0381,2025-02-10,The price was dirty and the price was old,1,Negative
REV_0382,2025-05-27,The ac was smelly but the staff was amazing,3,Neutral
REV_0383,2025-06-04,The staff was excellent but the pool was delicious,5,Positive
REV_0384,2025-01-01,The staff was comfortable,4,Positive
REV_0385,2025-03-07,The noise was old and the carpet was slow,1,Negative
REV_0386,2025-01-15,The breakfast was friendly but the room was friendly,5,Positive
REV_0387,2025-04-11,"The view was fast. However, the breakfast was friendly",5,Positive
REV_0388,2025-06-27,The check-in was expensive but the wifi was delicious,3,Neutral
REV_0389,2025-06-05,The price was expensive but the room was fast,3,Neutral
REV_0390,2025-05-18,The view was comfortable but the pool was delicious,5,Positive
REV_0391,2025-06-23,The breakfast was great,5,Positive
REV_0392,2025-06-12,The carpet was broken and the price was slow,1,Negative
REV_0393,2025-03-02,The view was great,4,Positive
REV_0394,2025-04-20,The staff was great,5,Positive
REV_0395,2025-01-08,The check-in was rude but the bed was fast,3,Neutral
REV_0396,2025-02-13,The wifi was friendly,5,Positive
REV_0397,2025-05-20,"The wifi was fast. However, the wifi was excellent",4,Positive
REV_0398,2025-01-27,The check-in was loud and the price was smelly,1,Negative
REV_0399,2025-05-20,The price was expensive and the check-in was dirty,1,Negative
REV_0400,2025-04-13,The location was excellent,5,Positive
REV_0401,2025-01-07,The price was loud and the elevator was rude,1,Negative
REV_0402,2025-04-30,The carpet was loud but the breakfast was clean,3,Neutral
REV_0403,2025-06-03,The bathroom was dirty and the price was dirty,1,Negative
REV_0404,2025-01-08,The bed was delicious,4,Positive
REV_0405,2025-05-13,The room was excellent and the view was delicious,4,Positive
REV_0406,2025-03-31,"The bed was delicious. However, the location was great",5,Positive
REV_0407,2025-01-26,The room was great,5,Positive
REV_0408,2025-04-17,"The pool was friendly. However, the staff was amazing",4,Positive
REV_0409,2025-04-29,The wifi was great,5,Positive
REV_0410,2025-01-15,"The staff was comfortable. However, the wifi was excellent",5,Positive
REV_0411,2025-04-17,The elevator was smelly and the noise was broken,1,Negative
REV_0412,2025-05-11,The bathroom was rude but the staff was clean,3,Neutral
REV_0413,2025-05-23,The bed was fast and the bed was comfortable,4,Positive
REV_0414,2025-06-28,The elevator was loud and the carpet was rude,2,Negative
REV_0415,2025-05-08,The carpet was expensive but the pool was fast,3,Neutral
REV_0416,2025-04-02,The pool was amazing,5,Positive
REV_0417,2025-04-12,The bathroom was loud and the noise was dirty,1,Negative
REV_0418,2025-02-05,The location was fast but the bed was comfortable,4,Positive
REV_0419,2025-03-01,The wifi was clean,4,Positive
REV_0420,2025-01-04,The staff was great and the view was delicious,5,Positive
REV_0421,2025-01-22,The price was slow but the pool was excellent,3,Neutral
REV_0422,2025-02-03,The noise was old but the wifi was delicious,3,Neutral
REV_0423,2025-02-07,The elevator was expensive and the ac was rude,2,Negative
REV_0424,2025-03-23,"The room was great. However, the pool was comfortable",4,Positive
REV_0425,2025-01-12,The bed was great. the staff was amazing,5,Positive
REV_0426,2025-05-13,The price was smelly but the breakfast was friendly,3,Neutral
REV_0427,2025-04-07,The breakfast was great but the bed was great,5,Positive
